ROW_ID,TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION,UDI_level,SUN_level,RAD_level,exposure_score,spatial_label,sun_h_day_estimated,sun_norm,radiation_norm,udi_norm,tile_light_index,cluster_0_score,cluster_1_score,cluster_2_score,cluster_3_score,bridge_cluster_0_probability,bridge_cluster_1_probability,bridge_cluster_2_probability,bridge_cluster_3_probability,plant_cluster_target,plant_cluster_target_label,bridge_top1_probability,bridge_top2_cluster,bridge_top3_cluster,bridge_margin,bridge_source_clusters
23670,TILE_070,180,0.0,0.2,0.5,0.8,2.66,1641.0,357.955,2,4,4,3.1,bright_indirect,4.495890410958904,0.5320779870021664,0.6404491188175099,0.01579746835443038,0.5292169444542973,0.3540762469367976,0.05007914265691061,0.6566202962636911,0.008443731826021844,0.11432413710891287,0.015065243864626982,0.8591968440821438,0.011413774944316318,2,bridge_cluster_2,0.8591968440821438,0,1,0.7448727069732309,cluster_3
23671,TILE_071,180,0.0,0.2,0.5,0.8,1.81,2098.0,435.278,1,5,5,3.2,bright_indirect,5.747945205479452,0.6843859356773871,0.786977449308319,0.007189873417721518,0.6628325105853399,0.9002716933708981,0.0021751006704397594,0.18182579361434859,0.0005076550168636985,0.9868662735219604,0.0024774354302777766,0.008206243038273293,0.0024500480094885465,0,bridge_cluster_0,0.9868662735219604,2,1,0.9786600304836871,"cluster_0, cluster_2"
23672,TILE_072,180,0.0,0.2,0.5,0.8,1.81,2283.0,423.811,1,5,5,3.2,bright_indirect,6.254794520547946,0.7460423262789535,0.7652472996020465,0.007189873417721518,0.6807993189882222,0.9375129934955865,0.0008470167110353218,0.07913584651749364,0.00033228800505342526,0.9929034603854697,0.00192744172769409,0.0032482588878587778,0.0019208389989775652,0,bridge_cluster_0,0.9929034603854697,2,1,0.989655201497611,"cluster_0, cluster_2"
23673,TILE_073,180,0.0,0.2,0.5,0.8,1.84,2035.0,402.977,1,5,5,3.2,bright_indirect,5.575342465753424,0.6633894350941509,0.725766534015539,0.00749367088607595,0.6258695531879681,0.8253901231838622,0.004050703305844591,0.23999278838022037,0.0010600271340134178,0.9723075540790148,0.0040717628385822015,0.019629298457819636,0.00399138462458335,0,bridge_cluster_0,0.9723075540790148,2,1,0.9526782556211951,"cluster_0, cluster_2"
23674,TILE_074,180,0.0,0.2,0.5,0.8,1.97,1757.0,380.245,1,5,5,3.2,bright_indirect,4.813698630136987,0.5707382102982836,0.6826890278567367,0.00881012658227848,0.564923269827987,0.501506552436281,0.024550946720935333,0.5350194238527185,0.004082044687612829,0.4295100360833671,0.0178667433244779,0.5370355271180687,0.015587693474086305,2,bridge_cluster_2,0.5370355271180687,0,1,0.1075254910347016,cluster_3
23675,TILE_075,180,0.0,0.2,0.5,0.8,2.25,1608.0,357.65,1,4,4,2.65,medium_indirect,4.405479452054794,0.521079820029995,0.6398711389046806,0.011645569620253165,0.5235924884826293,0.3208148032680135,0.0597840037990198,0.6823387657713904,0.009886128684570198,0.08040491929346741,0.01410980618492201,0.8953682709626997,0.01011700355891103,2,bridge_cluster_2,0.8953682709626997,0,1,0.8149633516692323,cluster_3
23676,TILE_076,180,0.0,0.2,0.5,0.8,4.25,1501.0,335.119,2,4,4,3.1,bright_indirect,4.112328767123287,0.48541909681719714,0.5971745309835134,0.03189873417721519,0.49035700592804127,0.21527708591066175,0.10587066496096505,0.7526827178968232,0.019059319871179696,0.026508871877536207,0.012782835892186907,0.9535421961647536,0.007166096065523315,2,bridge_cluster_2,0.9535421961647536,0,1,0.9270333242872173,cluster_3
23677,TILE_077,180,0.0,0.2,0.5,0.8,10.03,1493.0,299.29,3,4,4,3.5500000000000003,bright_indirect,4.090410958904109,0.4827528745209132,0.5292779988629903,0.09043037974683545,0.4644569309974401,0.19165635092239935,0.11652379347260544,0.7795199087602898,0.024336551420498613,0.01912470864542432,0.011589475815703605,0.9630174489074148,0.006268366631457314,2,bridge_cluster_2,0.9630174489074148,0,1,0.9438927402619904,cluster_3
23678,TILE_078,180,0.0,0.2,0.5,0.8,14.63,1339.0,247.701,3,4,3,3.2,bright_indirect,3.6684931506849314,0.4314280953174471,0.43151601288610947,0.1370126582278481,0.40202611451438525,0.08887280305262184,0.2384515103031058,0.8529462218912764,0.0616707056895376,0.005968131264433588,0.016177562301143165,0.972876016021026,0.004978290413397208,2,bridge_cluster_2,0.972876016021026,1,0,0.9566984537198828,cluster_3
23679,TILE_079,180,0.0,0.2,0.5,0.8,29.89,1141.0,178.549,4,3,2,3.1000000000000005,bright_indirect,3.126027397260274,0.3654390934844193,0.30047185901080153,0.2915443037974683,0.32881435900259626,0.027904732882850815,0.4735980245428794,0.9370228910392274,0.16392001316880828,0.002213827531267551,0.04320738990181392,0.9490966648701039,0.005482117696814595,2,bridge_cluster_2,0.9490966648701039,1,3,0.90588927496829,cluster_3
23680,TILE_080,180,0.0,0.2,0.5,0.8,5.48,1689.0,336.304,2,5,4,3.3,bright_indirect,4.627397260273972,0.54807532077987,0.599420125071063,0.044354430379746845,0.5208083936708946,0.3895698243563002,0.04078381572186827,0.6259695128750912,0.00828870505331831,0.16633279681575192,0.01626068976121281,0.8043130064969165,0.013093506926118737,2,bridge_cluster_2,0.8043130064969165,0,1,0.6379802096811646,cluster_3
23681,TILE_081,180,0.0,0.2,0.5,0.8,2.22,2063.0,400.579,1,5,5,3.2,bright_indirect,5.652054794520548,0.6727212131311449,0.7212222853894258,0.011341772151898735,0.6284087515494466,0.8444375014802761,0.0034831379035145174,0.21672029518184904,0.0009959380488726239,0.977981784583431,0.0035935070537585537,0.014890295162515778,0.0035344132002946248,0,bridge_cluster_0,0.977981784583431,2,1,0.9630914894209152,"cluster_0, cluster_2"
23682,TILE_082,180,0.0,0.2,0.5,0.8,2.05,2113.0,404.752,1,5,5,3.2,bright_indirect,5.789041095890411,0.6893851024829195,0.7291301876065946,0.009620253164556959,0.6392939058567371,0.8786693425160148,0.0025314312305779866,0.17702505942599286,0.0007938631037714473,0.9851441121600649,0.0028629957127930612,0.009162869403580126,0.002830022723562127,0,bridge_cluster_0,0.9851441121600649,2,1,0.9759812427564848,"cluster_0, cluster_2"
