BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,cell_count,mean_udi,mean_sun,mean_radiation
0,0.5,0.2,0.0,0.2,100,41.84495,595.485,154.95242
0,0.5,0.0,0.8,0.8,100,6.59385,1455.44,348.68598
0,0.5,0.0,0.8,0.5,100,10.8201,1050.0,289.44887
0,0.5,0.0,0.8,0.2,100,16.403599999999997,702.43,232.86998
0,0.5,0.0,0.5,0.8,100,11.038450000000001,1302.69,303.47105
0,0.5,0.0,0.5,0.5,100,18.29045,897.25,243.60669000000001
0,0.5,0.0,0.5,0.2,100,27.76375,549.68,186.47667
0,0.5,0.8,0.8,0.0,100,5.99225,1459.535,354.38391
0,0.8,0.0,0.2,0.5,100,17.87545,925.59,246.67860000000002
0,0.5,0.0,0.2,0.5,100,28.757199999999997,791.22,200.93182000000002
0,0.8,0.0,0.2,0.8,100,10.85925,1331.03,306.34385
0,0.8,0.8,0.5,0.0,100,6.0020500000000006,1441.155,353.12435
0,0.8,0.8,0.2,0.0,100,9.914,1335.125,311.84695
0,0.8,0.8,0.0,0.8,100,2.2806,2228.14,432.43815
0,0.8,0.8,0.0,0.5,100,4.7576,1822.7,376.19523999999996
0,0.8,0.8,0.0,0.2,100,8.42985,1475.13,321.70144
0,0.8,0.5,0.8,0.0,100,5.23,1161.19,337.26412
0,0.8,0.5,0.5,0.0,100,10.06895,1008.44,292.22747
0,0.8,0.5,0.2,0.0,100,17.11805,902.41,250.57213
0,0.8,0.5,0.0,0.8,100,4.8607499999999995,1795.425,374.4579
0,0.8,0.5,0.0,0.5,100,8.572849999999999,1389.985,316.76145
0,0.8,0.5,0.0,0.2,100,14.9323,1042.415,260.88419999999996
0,0.8,0.2,0.8,0.0,100,7.7999,848.63,278.81584
0,0.8,0.2,0.5,0.0,100,15.7853,695.88,232.95687
0,0.8,0.2,0.2,0.0,100,28.076549999999997,589.85,190.74196
0,0.8,0.2,0.0,0.8,100,9.01395,1482.865,317.4581
0,0.8,0.2,0.0,0.5,100,15.33805,1077.425,258.5691
0,0.8,0.2,0.0,0.2,100,26.54145,729.855,201.17414
0,0.8,0.0,0.8,0.8,100,3.593,1589.81,391.68019
0,0.8,0.0,0.8,0.5,100,5.78855,1184.37,333.25652
0,0.8,0.0,0.8,0.2,100,8.2326,836.8,277.35381
0,0.8,0.0,0.5,0.8,100,6.6374,1437.06,347.31343
0,0.8,0.0,0.5,0.5,100,10.79765,1031.62,287.97817
0,0.8,0.0,0.5,0.2,100,16.4667,684.05,231.84428
