TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION
TILE_043,0,0,0.2,0.5,0.2,14.63,919,208.264
TILE_044,0,0,0.2,0.5,0.2,15.45,716,200.446
TILE_045,0,0,0.2,0.5,0.2,16.52,799,201.573
TILE_046,0,0,0.2,0.5,0.2,17.45,958,208.84
TILE_047,0,0,0.2,0.5,0.2,19.32,735,212.92
TILE_048,0,0,0.2,0.5,0.2,27.45,508,179.429
TILE_049,0,0,0.2,0.5,0.2,64.88,444,97.809
TILE_050,0,0,0.2,0.5,0.2,54.9,426,109.21
TILE_051,0,0,0.2,0.5,0.2,21.32,494,195.458
TILE_052,0,0,0.2,0.5,0.2,15.89,643,230.518
TILE_053,0,0,0.2,0.5,0.2,10.93,930,227.802
TILE_054,0,0,0.2,0.5,0.2,11.48,683,222.139
TILE_055,0,0,0.2,0.5,0.2,11.67,836,223.294
TILE_056,0,0,0.2,0.5,0.2,12.19,947,228.174
TILE_057,0,0,0.2,0.5,0.2,15.62,699,225.902
TILE_058,0,0,0.2,0.5,0.2,22.55,494,196.497
TILE_059,0,0,0.2,0.5,0.2,54.44,439,109.244
TILE_060,0,0,0.2,0.5,0.2,50.66,552,119.482
TILE_061,0,0,0.2,0.5,0.2,19.01,516,199.323
TILE_062,0,0,0.2,0.5,0.2,13.01,627,236.645
TILE_063,0,0,0.2,0.5,0.2,8.55,886,241.068
TILE_064,0,0,0.2,0.5,0.2,8.71,530,243.361
TILE_065,0,0,0.2,0.5,0.2,9.21,760,241.08
TILE_066,0,0,0.2,0.5,0.2,10.88,889,237.76
TILE_067,0,0,0.2,0.5,0.2,15.12,645,230.04
TILE_068,0,0,0.2,0.5,0.2,20.82,516,196.026
TILE_069,0,0,0.2,0.5,0.2,50.55,550,116.866
TILE_070,0,0,0.2,0.5,0.2,51.53,766,127.976
TILE_071,0,0,0.2,0.5,0.2,21.42,791,195.622
TILE_072,0,0,0.2,0.5,0.2,14.85,947,241.288
TILE_073,0,0,0.2,0.5,0.2,8.74,1083,263.519
TILE_074,0,0,0.2,0.5,0.2,8.99,793,269.054
